Airport;lat;lng
BRIVE/LA ROCHE airport;45.0568;1.4883
PERIGEUX-BASSILLAC airport;45.1764;0.7672
BIARRITZ-PAYS BASQUE airport;43.4682;1.5244
CASTRES MAZAMET airport;43.5933;2.2617
RODEZ-AVEYRON airport;44.0784;2.4829
ROCHEFORT-CHARENTE-MARITIME airport;45.9181;0.9822
OUESSANT airport;48.4553;5.0872
DOLE-TAVAUX airport;47.0397;5.4189
LE PUY-LOUDES airport;45.0933;3.7022
METZ NANCY-LORRAINE airport;48.9772;6.2483
ANGERS MARCE airport;47.5614;0.2889
BASTIA-PORETTA airport;42.5414;9.4839
CALVI-SAINTE-CATHERINE airport;42.5222;8.8144
FIGARI-SUD-CORSE airport;41.5036;9.0967
AJACCIO-NAPOLEON-BONAPARTE airport;41.9189;8.7906
CHAMBERY-AIX-LES-BAINS airport;45.6369;5.875
CLERMONT-FERRAND-AUVERGNE airport;45.7877;3.1691
COURCHEVEL airport;45.4172;6.6339
LYON SAINT-EXUPERY airport;45.7277;5.0767
ANNECY-MEYTHET airport;45.9392;6.105
GRENOBLE-ISERE airport;45.3622;5.334
AURILLAC airport;44.8964;2.4172
CHATEAUROUX-DEOLS airport;46.8797;1.7378
LYON-BRON airport;45.7247;4.9458
CANNES-MANDELIEU airport;43.5519;6.9469
SAINT-ETIENNE-LOIRE airport;45.5367;4.2989
CARCASSONNE-SALVAZA airport;43.2162;2.3054
MARSEILLE-PROVENCE airport;43.9181;5.2144
NICE-COTE D AZUR airport;43.6658;7.2061
PERPIGNAN RIVESALTES airport;42.74;2.8711
LE CASTELLET airport;43.2505;5.7892
MONTPELLIER MEDITERRANEE airport;43.5828;3.9631
BEZIERS-VIAS airport;43.3236;3.3533
AVIGNON-CAUMONT airport;43.9181;4.8906
BEAUVAIS-TILLE airport;49.4533;2.1156
LE HAVRE-OCTEVILLE airport;49.5283;0.0894
CHALONS-VATRY airport;48.7758;4.1869
ROUEN-VALLEE DE SEINE airport;49.3872;1.1844
TOURS VAL DE LOIRE airport;47.4328;0.7247
PARIS-CHARLES DE GAULLE airport;49.0097;2.5594
PARIS-ORLY airport;48.7264;2.3794
LILLE-LESQUIN airport;50.5678;3.0906
BREST-BRETAGNE airport;48.4506;4.4172
CHERBOURG-MAUPERTUS airport;49.6453;1.4789
DINARD PLEURTUIT SAINT MALO airport;48.5878;2.825
DEAUVILLE-NORMANDIE airport;49.3667;0.1472
LORIENT-LANN-BIHOUE airport;47.7667;3.4578
CAEN-CARPIQUET airport;49.1764;0.4572
LE MANS-ARNAGE airport;47.9547;0.1983
RENNES SAINT JACQUES airport;48.0683;1.7242
LANNION airport;48.755;3.4683
QUIMPER-PLUGUFFAN airport;47.9658;4.1692
NANTES ATLANTIQUE airport;47.1558;1.6092
SAINT BRIEUC ARMOR airport;48.5367;2.8594
SAINT-NAZAIRE-MONTOIR airport;47.2883;2.1794
DIJON-LONGVIC airport;47.2583;5.0789
EPINAL-MIRECOURT airport;48.3308;6.0792
REIMS/CHAMPAGNE airport;49.2783;4.0533
STRASBOURG-ENTZHEIM airport;48.5447;7.7739
CANNES/PALM BEACH airport;43.5413;7.034
HYERES-LE PALYVESTRE airport;43.0886;6.1458
NIMES-GARONS airport;43.7533;4.4103
LA MOLE airport;43.2045;6.471
CAYENNE-FELIX-EBOUE airport;4.8197;52.3875
AIME CESAIRE/MARTINIQUE airport;14.596;61.002
